imdb_id,title,year,genres,rating,votes,actors,directors,tags,score
tt15486810,Teen Wolf: The Movie,2023,"Action, Comedy, Crime",5.6,16981.0,"Tyler Posey, Crystal Reed, Holland Roden, Tyler Hoechlin, Shelley Hennig",Russell Mulcahy,action comedy crime action comedy crime action comedy crime russell mulcahy russell mulcahy tyler posey crystal reed holland roden tyler hoechlin shelley hennig,6.153666628153692
tt15494038,Drifting Home,2022,"Adventure, Animation, Drama",6.3,5779.0,"Mutsumi Tamura, Asami Seto, Ayumu Murase, Daiki Yamashita, Yumiko Kobayashi",Hiroyasu Ishida,adventure animation drama adventure animation drama adventure animation drama hiroyasu ishida hiroyasu ishida mutsumi tamura asami seto ayumu murase daiki yamashita yumiko kobayashi,6.307368164701719
tt1549572,Another Earth,2011,"Drama, Romance, Sci-Fi",6.9,104095.0,"Brit Marling, William Mapother, Matthew-Lee Erlbach, DJ Flava, Meggan Lennon",Mike Cahill,drama romance sci-fi drama romance sci-fi drama romance sci-fi mike cahill mike cahill brit marling william mapother matthew-lee erlbach dj flava meggan lennon,6.681533995814037
tt1549589,Elles,2011,Drama,5.6,7969.0,"Juliette Binoche, Anaïs Demoustier, Joanna Kulig, Louis-Do de Lencquesaing, Krystyna Janda",Malgorzata Szumowska,drama drama drama malgorzata szumowska malgorzata szumowska juliette binoche anaïs demoustier joanna kulig louis-do de lencquesaing krystyna janda,6.22612601064996
tt1549920,The Last Stand,2013,"Action, Drama, Thriller",6.3,150260.0,"Arnold Schwarzenegger, Forest Whitaker, Johnny Knoxville, Rodrigo Santoro, Arron Shiver",Kim Jee-woon,action drama thriller action drama thriller action drama thriller kim jee-woon kim jee-woon arnold schwarzenegger forest whitaker johnny knoxville rodrigo santoro arron shiver,6.302326495459411
tt15501640,Drishyam 2,2022,"Crime, Drama, Mystery",8.2,51653.0,"Ajay Devgn, Akshaye Khanna, Tabu, Shriya Saran, Ishita Dutta",Abhishek Pathak,crime drama mystery crime drama mystery crime drama mystery abhishek pathak abhishek pathak ajay devgn akshaye khanna tabu shriya saran ishita dutta,7.176375899923537
tt15502162,Hindutva,2022,Drama,4.7,3552.0,"Agast Annand, Shiven Basnet, Surmeet Basra, Sonarika Bhadoria, Manish bhatt",Karan Razdan,drama drama drama karan razdan karan razdan agast annand shiven basnet surmeet basra sonarika bhadoria manish bhatt,6.219434934084415
tt15502716,Richie Gadi Pelli,2023,"Comedy, Drama, Musical",7.3,3085.0,"Kishore Maarisetty, Naveen Neni, Praneeta Patnaik, Chandana Raj, Praveen Reddy","K.S. Hemraj, M.Summanth",comedy drama musical comedy drama musical comedy drama musical k.s. hemraj m.summanth k.s. hemraj m.summanth kishore maarisetty naveen neni praneeta patnaik chandana raj praveen reddy,6.355898694471387
tt15509164,Godse,2022,"Action, Thriller",5.7,1468.0,"Satyadev Kancharana, Aishwarya Lekshmi, Jia Sharma, Brahmaji, Tanikella Bharani",Gopi Ganesh,action thriller action thriller action thriller gopi ganesh gopi ganesh satyadev kancharana aishwarya lekshmi jia sharma brahmaji tanikella bharani,6.293753148052959
tt15509244,Happiness for Beginners,2023,"Comedy, Drama, Romance",6.1,22150.0,"Ellie Kemper, Luke Grimes, Nico Santos, Blythe Danner, Ben Cook",Vicky Wight,comedy drama romance comedy drama romance comedy drama romance vicky wight vicky wight ellie kemper luke grimes nico santos blythe danner ben cook,6.252569261440646
